Flight,Time,Destination,Carrier,Terminal,Gate,Status,Duration
LH8296,04:55,Johannesburg,Lufthansa,,,Scheduled,01:50
FR1568,06:05,Las Palmas,Ryanair,,,Scheduled,01:50
TP0573,06:10,Lisbon,TAP Portugal,,,Scheduled,01:50
S48761,06:10,Lisbon,Azores Airlines,,,Scheduled,01:50
LH6994,06:10,Lisbon,Lufthansa,,,Scheduled,01:50
AD7205,06:10,Lisbon,Azul,,,Scheduled,01:50
LH0092,06:15,Munich,Lufthansa,,,Scheduled,01:50
ET1571,06:15,Munich,Ethiopian Airlines,,,Scheduled,01:50
LH0172,06:15,Berlin,Lufthansa,,,Scheduled,01:50
ET1579,06:15,Berlin,Ethiopian Airlines,,,Scheduled,01:50
FR4184,06:15,Agadir,Ryanair,,,Scheduled,01:50
FR1530,06:25,Athens,Ryanair,,,Scheduled,01:50
LH0002,06:30,Hamburg,Lufthansa,,,Scheduled,01:50
NH6213,06:30,Hamburg,ANA,,,Scheduled,01:50
CA6019,06:30,Hamburg,Air China,,,Scheduled,01:50
FR1536,06:30,Porto,Ryanair,,,Scheduled,01:50
LH0800,06:35,Stockholm,Lufthansa,,,Scheduled,01:50
UA9346,06:35,Stockholm,United Airlines,,,Scheduled,01:50
SK3670,06:35,Stockholm,SAS,,,Scheduled,01:50
NH6191,06:35,Stockholm,ANA,,,Scheduled,01:50
ET1601,06:35,Stockholm,Ethiopian Airlines,,,Scheduled,01:50
LH1182,06:35,Zurich,Lufthansa,,,Scheduled,01:50
UA9024,06:35,Zurich,United Airlines,,,Scheduled,01:50
NH6249,06:35,Zurich,ANA,,,Scheduled,01:50
LX3613,06:35,Zurich,SWISS,,,Scheduled,01:50
ET1584,06:35,Zurich,Ethiopian Airlines,,,Scheduled,01:50
CA6069,06:35,Zurich,Air China,,,Scheduled,01:50
LH1026,06:40,Paris,Lufthansa,,,Scheduled,01:50
UA9353,06:40,Paris,United Airlines,,,Scheduled,01:50
NH5871,06:40,Paris,ANA,,,Scheduled,01:50
LH1280,06:40,Athens,Lufthansa,,,Scheduled,01:50
UA9597,06:40,Athens,United Airlines,,,Scheduled,01:50
A31837,06:40,Athens,Aegean Airlines,,,Scheduled,01:50
FR0381,06:40,Dublin,Ryanair,,,Scheduled,01:50
LH0170,06:45,Berlin,Lufthansa,,,Scheduled,01:50
CA6003,06:45,Berlin,Air China,,,Scheduled,01:50
UA8990,06:45,Berlin,United Airlines,,,Scheduled,01:50
NH6209,06:45,Berlin,ANA,,,Scheduled,01:50
LH0046,06:50,Hanover,Lufthansa,,,Scheduled,01:50
